Date,Terminal,Carrier,Forecasted_Passengers
2025-01-01,MBT,NJ_Transit,216359.0
2025-02-01,MBT,NJ_Transit,227649.0
2025-03-01,MBT,NJ_Transit,220674.0
2025-04-01,MBT,NJ_Transit,249784.0
2025-05-01,MBT,NJ_Transit,251239.0
2025-06-01,MBT,NJ_Transit,253100.0
2025-07-01,MBT,NJ_Transit,268320.0
2025-08-01,MBT,NJ_Transit,276244.0
2025-09-01,MBT,NJ_Transit,249549.0
2025-10-01,MBT,NJ_Transit,238760.0
2025-11-01,MBT,NJ_Transit,224551.0
2025-12-01,MBT,NJ_Transit,210300.0
2026-01-01,MBT,NJ_Transit,225481.0
2026-02-01,MBT,NJ_Transit,220483.0
2026-03-01,MBT,NJ_Transit,237222.0
2026-04-01,MBT,NJ_Transit,243065.0
2026-05-01,MBT,NJ_Transit,257711.0
2026-06-01,MBT,NJ_Transit,264227.0
2026-07-01,MBT,NJ_Transit,277052.0
2026-08-01,MBT,NJ_Transit,261302.0
2026-09-01,MBT,NJ_Transit,251588.0
2026-10-01,MBT,NJ_Transit,234808.0
2026-11-01,MBT,NJ_Transit,229587.0
2026-12-01,MBT,NJ_Transit,224052.0
2027-01-01,MBT,NJ_Transit,229660.0
2027-02-01,MBT,NJ_Transit,224868.0
2027-03-01,MBT,NJ_Transit,248204.0
2027-04-01,MBT,NJ_Transit,261912.0
2027-05-01,MBT,NJ_Transit,262658.0
2027-06-01,MBT,NJ_Transit,281231.0
2027-07-01,MBT,NJ_Transit,269385.0
2027-08-01,MBT,NJ_Transit,261501.0
2027-09-01,MBT,NJ_Transit,245804.0
2027-10-01,MBT,NJ_Transit,258249.0
2027-11-01,MBT,NJ_Transit,242642.0
2027-12-01,MBT,NJ_Transit,225519.0
2028-01-01,MBT,NJ_Transit,230852.0
2028-02-01,MBT,NJ_Transit,228238.0
2028-03-01,MBT,NJ_Transit,264945.0
2028-04-01,MBT,NJ_Transit,258116.0
2028-05-01,MBT,NJ_Transit,265840.0
2028-06-01,MBT,NJ_Transit,278298.0
2028-07-01,MBT,NJ_Transit,284408.0
2028-08-01,MBT,NJ_Transit,278004.0
2028-09-01,MBT,NJ_Transit,258498.0
2028-10-01,MBT,NJ_Transit,255795.0
2028-11-01,MBT,NJ_Transit,256651.0
2028-12-01,MBT,NJ_Transit,240558.0
2029-01-01,MBT,NJ_Transit,245291.0
2029-02-01,MBT,NJ_Transit,237657.0
2029-03-01,MBT,NJ_Transit,244600.0
2029-04-01,MBT,NJ_Transit,261509.0
2029-05-01,MBT,NJ_Transit,270875.0
2029-06-01,MBT,NJ_Transit,286609.0
2029-07-01,MBT,NJ_Transit,274061.0
2029-08-01,MBT,NJ_Transit,293301.0
2029-09-01,MBT,NJ_Transit,268560.0
2029-10-01,MBT,NJ_Transit,254275.0
2029-11-01,MBT,NJ_Transit,240159.0
2029-12-01,MBT,NJ_Transit,223026.0
2030-01-01,MBT,NJ_Transit,244315.0
2030-02-01,MBT,NJ_Transit,246856.0
2030-03-01,MBT,NJ_Transit,247454.0
2030-04-01,MBT,NJ_Transit,258136.0
2030-05-01,MBT,NJ_Transit,273411.0
2030-06-01,MBT,NJ_Transit,296447.0
2030-07-01,MBT,NJ_Transit,290401.0
2030-08-01,MBT,NJ_Transit,276495.0
2030-09-01,MBT,NJ_Transit,273292.0
2030-10-01,MBT,NJ_Transit,260543.0
2030-11-01,MBT,NJ_Transit,232616.0
2030-12-01,MBT,NJ_Transit,239541.0
2025-01-01,MBT,Spanish,126991.0
